node_name,x_node_name,tag1,tag2,sched,pinning,x_pinning,max_little,max_big,n_little,n_big,strat,sck_v_mean,sck_v_min,sck_v_max,sck_v_std,sck_i_mean,sck_i_min,sck_i_max,sck_i_std,sck_w_mean,sck_w_min,sck_w_max,sck_w_minus,sck_w_plus,sck_w_std,sck_w_idle,sck_j_first,sck_j_last,sck_j_total,rapl_w_mean,rapl_w_min,rapl_w_max,rapl_w_std,rapl_w_idle,thr_mean,thr_min,thr_max,thr_minus,thr_plus,thr_error,thr_std,sck_ene_per_fra,rapl_ene_per_fra
ai370,3,2CATAC_packed_half,ai370_2CATAC_half,2CATAC,packed,3,4,2,4,2,half,18.935692209100065,18.871,18.999,0.01959321309196268,1.767795889407672,1.149,2.4329,0.18982694702526168,33.47197397973084,21.799977,45.9112559,11.671996979730842,12.43928192026916,3.5718328726343374,2.7107633576086956,0.058,1004.993,1004.9350000000001,22.89,22.71,23.04,0.08,2.08,56.6189,56.3,56.68,0.3188999999999993,0.06110000000000326,0.38000000000000256,0.1130127328126258,0.008413676946735619,0.005753740888643191
ai370,3,2CATAC_packed_full,ai370_2CATAC_full,2CATAC,packed,3,8,4,6,1,full,18.935538503825185,18.894,18.995,0.012009713876401467,1.7574130743506344,1.3586,2.3402,0.09304755742353377,33.27689196605891,25.7033534,44.21573879999999,7.573538566058911,10.938846833941078,1.7492875762503761,2.7107633576086956,0.053,996.954,996.901,22.53,22.26,22.71,0.13,2.08,57.702999999999996,56.477,58.238,1.225999999999999,0.5350000000000037,1.7610000000000028,0.6423974193942918,0.008207488804064788,0.0055568507703239005
ai370,3,FERTAC_packed_half,ai370_FERTAC_half,FERTAC,packed,3,4,2,4,2,half,18.93467654580327,18.875,19.022,0.01953495732990473,1.7889329208146862,1.0441,2.417,0.18773905719202455,33.87037592485615,19.8535615,45.683716999999994,14.016814424856147,11.813341075143846,3.531387444952221,2.7107633576086956,0.065,1013.156,1013.0909999999999,22.98,22.65,23.17,0.13,2.08,56.6041,56.442,56.659,0.16210000000000235,0.054899999999996396,0.21699999999999875,0.05935664336122024,0.008516047250332621,0.005777874040926364
ai370,3,FERTAC_packed_full,ai370_FERTAC_full,FERTAC,packed,3,8,4,6,1,full,18.936998535268,18.89,18.996,0.01360801800552403,1.7427823408248273,1.3011,2.3135,0.10950331129186087,33.00215966289193,24.6805659,43.745971499999996,8.321593762891926,10.743811837108069,2.059344703637309,2.7107633576086956,0.059,987.269,987.21,22.56,22.31,22.72,0.12,2.08,57.5911,56.551,58.063,1.0400999999999954,0.4719000000000051,1.5120000000000005,0.49390720001050936,0.008155543761488804,0.0055750614244214815
ai370,3,HeRAD_packed_half,ai370_HeRAD_half,HeRAD,packed,3,4,2,4,2,half,18.930333432480666,18.871,18.984,0.014801282045238302,1.8234269879040255,1.344,2.3302,0.13654658023576005,34.516714116706325,25.483584,44.017478000000004,9.033130116706324,9.50076388329368,2.566806134829432,2.7107633576086956,0.054,953.121,953.067,23.41,23.17,23.59,0.11,2.08,56.6158,56.469,56.696,0.14679999999999893,0.08019999999999783,0.22699999999999676,0.07045692143272868,0.008676762940892197,0.005884772801938681
ai370,3,HeRAD_packed_full,ai370_HeRAD_full,HeRAD,packed,3,8,4,6,1,full,18.931544179459063,18.863,18.98,0.011099032680931162,1.7983466282894738,1.3562,2.544,0.09351568266615601,34.04484242815698,25.689140400000003,47.987472,8.35570202815698,13.942629571843014,1.7579618826747967,2.7107633576086956,0.057,1019.815,1019.758,23.22,23.09,23.38,0.09,2.08,60.2558,58.416,67.638,1.8398000000000039,7.3822000000000045,9.222000000000008,2.650262536261478,0.008041154501932265,0.0054844021654346965
ai370,3,OTAC_big_packed_half,ai370_OTAC_big_half,OTAC_big,packed,3,4,2,0,2,half,18.989972676015615,18.945,19.03,0.01057149043372783,1.0912459929641944,0.8382,1.5618,0.10380423351960888,20.722002700024095,15.935020199999999,29.6179752,4.786982500024097,8.895972499975905,1.9633200751703,2.7107633576086956,0.035,583.48,583.445,13.74,13.65,13.83,0.05,2.08,27.434200000000004,27.361,27.52,0.07320000000000348,0.08579999999999544,0.15899999999999892,0.046021251129837154,0.010749923177156355,0.0071278797996661095
ai370,3,OTAC_big_packed_full,ai370_OTAC_big_full,OTAC_big,packed,3,8,4,0,4,full,18.94627346771625,18.882,19.007,0.018152952641845917,1.6343777085134459,1.1903,2.2098,0.1534915279019282,30.96369686042681,22.5930843,41.725443600000006,8.37061256042681,10.761746739573194,2.8905560118675786,2.7107633576086956,0.057,927.661,927.6039999999999,20.46,19.94,20.75,0.18,2.08,45.17360000000001,45.109,45.22,0.06460000000000576,0.04639999999999134,0.1109999999999971,0.038796334305647454,0.009755151985177056,0.006445948961340251
ai370,3,OTAC_little_packed_half,ai370_OTAC_little_half,OTAC_little,packed,3,4,2,4,0,half,18.99360062936106,18.948,19.033,0.011462318069824683,1.0556071281981119,0.7441,1.5105,0.09636996175274254,20.049120546353812,14.162455300000001,28.628506499999997,5.886665246353811,8.579385953646185,1.8230996305657645,2.7107633576086956,0.034,600.708,600.674,13.32,13.10,13.69,0.14,2.08,33.77589999999999,29.072,34.317,4.703899999999994,0.5411000000000072,5.245000000000001,1.6528342291013005,0.008448008302242354,0.005612588857735842
ai370,3,OTAC_little_packed_full,ai370_OTAC_little_full,OTAC_little,packed,3,8,4,7,0,full,18.96016783020194,18.912,19.01,0.016107979561048518,1.4778953802183386,1.092,1.8926,0.13601142168582264,28.019670667282014,20.727252000000004,35.8136698,7.292418667282011,7.793999132717985,2.563289611454119,2.7107633576086956,0.053,815.087,815.034,19.01,18.79,19.74,0.19,2.08,52.7616,52.678,52.791,0.08360000000000412,0.02939999999999543,0.11299999999999955,0.038661493906872214,0.0075580716456050915,0.005127788391557497
