node_name,x_node_name,tag1,tag2,sched,pinning,x_pinning,max_little,max_big,n_little,n_big,strat,sck_v_mean,sck_v_min,sck_v_max,sck_v_std,sck_i_mean,sck_i_min,sck_i_max,sck_i_std,sck_w_mean,sck_w_min,sck_w_max,sck_w_minus,sck_w_plus,sck_w_std,sck_w_idle,sck_j_first,sck_j_last,sck_j_total,rapl_w_mean,rapl_w_min,rapl_w_max,rapl_w_std,rapl_w_idle,thr_mean,thr_min,thr_max,thr_minus,thr_plus,thr_error,thr_std,sck_ene_per_fra,rapl_ene_per_fra
m1u,2,FERTAC_guided_half,m1u_FERTAC_half,FERTAC,guided,2,2,8,2,8,half,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.92,41.5,42.4,0.4200000000000017,0.4799999999999969,0.3420526275297416,14.75,0,0,0,0,0,0,0,0,42.81,42.562,42.983,0.24800000000000466,0.1729999999999947,0.4209999999999994,0.1596990224696993,0.013936123335669235,0.0
m1u,2,HeRAD_guided_full,m1u_HeRAD_full,HeRAD,guided,2,4,16,4,8,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9,46.1,47.9,0.7999999999999972,1.0,0.648074069840785,14.75,0,0,0,0,0,0,0,0,55.5312,54.951,56.089,0.5801999999999978,0.5578000000000003,1.1379999999999981,0.40191922903323046,0.01201992393465295,0.0
m1u,2,HeRAD_guided_half,m1u_HeRAD_half,HeRAD,guided,2,2,8,1,8,half,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0375,44.3,45.8,0.7375000000000043,0.7624999999999957,0.4867897756879103,14.75,0,0,0,0,0,0,0,0,47.69199999999999,46.858,48.655,0.8339999999999961,0.9630000000000081,1.7970000000000041,0.47307856993668007,0.013439857837792503,0.0
m1u,2,OTAC_big_guided_full,m1u_OTAC_big_full,OTAC_big,guided,2,4,16,0,10,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.85,50.4,51.3,0.45000000000000284,0.44999999999999574,0.38729833462074076,14.75,0,0,0,0,0,0,0,0,42.4226,40.291,43.441,2.131600000000006,1.0183999999999997,3.1500000000000057,0.9948968902465347,0.017059237293329498,0.0
m1u,2,OTAC_big_guided_half,m1u_OTAC_big_half,OTAC_big,guided,2,2,8,0,8,half,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.45,39.7,41.2,0.75,0.75,0.5612486080160912,14.75,0,0,0,0,0,0,0,0,38.8455,38.608,39.496,0.23750000000000426,0.650500000000001,0.8880000000000052,0.3406008579619918,0.014819847858825348,0.0
m1u,2,OTAC_little_guided_full,m1u_OTAC_little_full,OTAC_little,guided,2,4,16,4,0,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85,17.7,18.0,0.15000000000000213,0.14999999999999858,0.21213203435596475,14.75,0,0,0,0,0,0,0,0,8.669699999999999,8.612,8.7,0.05769999999999875,0.030300000000000438,0.08799999999999919,0.025399256332070314,0.029302190387210637,0.0
m1u,2,OTAC_little_guided_half,m1u_OTAC_little_half,OTAC_little,guided,2,2,8,2,0,half,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.950000000000003,16.8,17.1,0.15000000000000213,0.14999999999999858,0.21213203435596475,14.75,0,0,0,0,0,0,0,0,4.971500000000001,4.969,4.977,0.002500000000000391,0.005499999999999616,0.008000000000000007,0.0022236106773545323,0.04852306145026652,0.0
m1u,2,OS_R1_os_unknown,m1u_OS_R1_unknown,OS_R1,os,5,0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.975,25.9,29.6,2.075000000000003,1.625,0.9280106161589445,14.75,0,0,0,0,0,0,0,0,19.951,18.544,21.216,1.407,1.2650000000000006,2.6720000000000006,0.7429732738896373,0.01995590195980151,0.0
m1u,2,OS_R2_os_unknown,m1u_OS_R2_unknown,OS_R2,os,5,0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8972972972973,36.0,40.9,1.8972972972972997,3.002702702702699,1.0111837085774729,14.75,0,0,0,0,0,0,0,0,16.14346666666667,15.828,16.442,0.3154666666666692,0.29853333333333154,0.6140000000000008,0.170777159173111,0.03341006899396671,0.0
m1u,2,OS_R3_os_unknown,m1u_OS_R3_unknown,OS_R3,os,5,0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.944736842105264,46.7,51.6,2.2447368421052616,2.655263157894737,1.2594931130614477,14.75,0,0,0,0,0,0,0,0,16.03673333333333,15.839,16.264,0.1977333333333302,0.22726666666666873,0.42499999999999893,0.12487677735996208,0.04343662018055478,0.0
m1u,2,OS_R4_os_unknown,m1u_OS_R4_unknown,OS_R4,os,5,0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.086363636363636,52.5,54.3,0.586363636363636,1.2136363636363612,0.511110326870595,14.75,0,0,0,0,0,0,0,0,13.986466666666669,13.972,13.999,0.01446666666666907,0.012533333333331953,0.027000000000001023,0.00708989891794423,0.054018298207748,0.0
m1u,2,OS_R5_os_unknown,m1u_OS_R5_unknown,OS_R5,os,5,0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.97857142857143,50.7,51.3,0.2785714285714249,0.3214285714285694,0.2486225790494211,14.75,0,0,0,0,0,0,0,0,11.185133333333335,11.168,11.197,0.017133333333335443,0.011866666666664472,0.028999999999999915,0.007670599405398096,0.06486529994320692,0.0
m1u,2,OS_R6_os_unknown,m1u_OS_R6_unknown,OS_R6,os,5,0,0,0,0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.423529411764704,51.0,51.9,0.4235294117647044,0.4764705882352942,0.31923622085515685,14.75,0,0,0,0,0,0,0,0,9.310066666666668,9.302,9.319,0.008066666666667999,0.008933333333333238,0.017000000000001236,0.005119523787377692,0.07860949838399672,0.0
