node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
m1u,OS_R1,os,0,0,0,0,unknown,19.951,18.544,21.216,2.6720000000000006,0.7429732738896373
m1u,OS_R2,os,0,0,0,0,unknown,16.14346666666667,15.828,16.442,0.6140000000000008,0.170777159173111
m1u,OS_R3,os,0,0,0,0,unknown,16.03673333333333,15.839,16.264,0.42499999999999893,0.12487677735996208
m1u,OS_R4,os,0,0,0,0,unknown,13.986466666666669,13.972,13.999,0.027000000000001023,0.00708989891794423
m1u,OS_R5,os,0,0,0,0,unknown,11.185133333333335,11.168,11.197,0.028999999999999915,0.007670599405398096
m1u,OS_R6,os,0,0,0,0,unknown,9.310066666666668,9.302,9.319,0.017000000000001236,0.005119523787377692
